id,user,created_at,text
1049331142736850944,Sjaswal6,2018-10-08 16:10:14,RT THE NEW MONTAGEEEEEEEEEEEEE IS SEXYYYYYYYYYYYYYYYYYYYYYYYYYYY OMGGG FREAKING PARALLEL OF ADIYA AND YJHD PALAKH I
1049798011755356160,violet41341016,2018-10-09 23:05:24,RT Face your fears head on today FaceYourFearsDay ZNMD
1049797948547223552,violet41341016,2018-10-09 23:05:09,RT Face your fears head on today FaceYourFearsDay ZNMD https
1049777796929720321,iSaloniiSingh,2018-10-09 21:45:05,RT Face your fears head on today FaceYourFearsDay ZNMD https
1049762667517206528,iarpanhr,2018-10-09 20:44:58,RT Face your fears head on today FaceYourFearsDay ZNMD
1049753839077797888,iarpanhr,2018-10-09 20:09:53,RT Face your fears head on today FaceYourFearsDay ZNMD https
1049732544634281985,hrfanforlife,2018-10-09 18:45:16,RT Face your fears head on today FaceYourFearsDay ZNMD https
1049723175540535301,ManjMaida,2018-10-09 18:08:02,RT Face your fears head on today FaceYourFearsDay ZNMD https
1049723152304144384,ManjMaida,2018-10-09 18:07:57,RT Face your fears head on today FaceYourFearsDay ZNMD
1049712422087319552,iHrithikSundar,2018-10-09 17:25:18,RT Face your fears head on today FaceYourFearsDay ZNMD https
1049710233050865664,ElaAna77617236,2018-10-09 17:16:36,RT Face your fears head on today FaceYourFearsDay ZNMD https
1049708851946315776,Autsort555,2018-10-09 17:11:07,RT Face your fears head on today FaceYourFearsDay ZNMD
1049708643703242753,Autsort555,2018-10-09 17:10:17,RT Face your fears head on today FaceYourFearsDay ZNMD https
1049707669622120448,AyanHRX,2018-10-09 17:06:25,RT Face your fears head on today FaceYourFearsDay ZNMD https
1049707631072276480,AyanHRX,2018-10-09 17:06:16,RT Face your fears head on today FaceYourFearsDay ZNMD
1049707452827095041,Queen36744496,2018-10-09 17:05:34,RT Face your fears head on today FaceYourFearsDay ZNMD https
